frame,global_id,raw_global_id,offline_merged_into,local_tracker_id,class_name,detection_source,parent_class_name,roi_level,confidence,x1,y1,x2,y2,center_x,center_y,owner_id,owner_link_strength,owner_contact_frames,owner_separation_frames,owner_last_distance_px,stationary_frames,missing_frames,mask_area,used_mask_geometry,reidentified_count,good_snapshot_count,crop_quality,crop_quality_reason,last_observed_side,exit_side,entry_side
117,1,1,,,knife,main,,0,0.275877445936203,217.42,232.3,638.79,466.73,428.1,349.52,,0.0,,,0.0,0,0,0,False,0,0,0.0,n/a,,,
137,1,1,,,knife,main,,0,0.26713699102401733,222.72,233.39,638.8,467.42,430.76,350.41,,0.0,,,0.0,1,0,0,False,1,0,0.0,n/a,,,
139,1,1,,,knife,main,,0,0.2591109871864319,223.65,237.54,638.67,463.34,431.16,350.44,,0.0,,,0.0,2,0,0,False,2,0,0.0,n/a,,,
141,1,1,,,knife,main,,0,0.2612239718437195,222.73,240.01,638.6,460.59,430.67,350.3,,0.0,,,0.0,3,0,0,False,3,0,0.0,n/a,,,
144,1,1,,,knife,main,,0,0.33722400665283203,219.01,240.26,638.61,458.14,428.81,349.2,,0.0,,,0.0,4,0,0,False,4,0,0.0,n/a,,,
145,1,1,,3,knife,main,,0,0.25445234775543213,216.35,240.2,638.61,459.07,427.48,349.63,,0.0,,,0.0,5,0,0,False,5,0,0.0,n/a,,,
148,1,1,,3,knife,main,,0,0.3299761414527893,213.59,237.86,638.71,461.37,426.15,349.62,,0.0,,,0.0,6,0,0,False,5,0,0.0,n/a,,,
149,1,1,,3,knife,main,,0,0.2860065996646881,211.86,236.23,638.8,463.15,425.33,349.69,,0.0,,,0.0,7,0,0,False,5,0,0.0,n/a,,,
150,1,1,,3,knife,main,,0,0.3479993939399719,210.91,235.27,638.83,464.65,424.87,349.96,,0.0,,,0.0,8,0,0,False,5,0,0.0,n/a,,,
151,1,1,,3,knife,main,,0,0.357693076133728,210.11,234.85,638.86,465.09,424.49,349.97,,0.0,,,0.0,9,0,0,False,5,0,0.0,n/a,,,
154,1,1,,3,knife,main,,0,0.34583091735839844,208.68,235.06,638.87,464.99,423.77,350.02,,0.0,,,0.0,10,0,0,False,5,0,0.0,n/a,,,
155,1,1,,3,knife,main,,0,0.30958113074302673,207.72,235.55,638.86,465.76,423.29,350.65,,0.0,,,0.0,11,0,0,False,5,0,0.0,n/a,,,
157,1,1,,3,knife,main,,0,0.31259885430336,207.03,237.37,638.88,466.47,422.95,351.92,,0.0,,,0.0,12,0,0,False,5,0,0.0,n/a,,,
158,1,1,,3,knife,main,,0,0.37264031171798706,206.8,238.78,638.91,466.14,422.85,352.46,,0.0,,,0.0,13,0,0,False,5,0,0.0,n/a,,,
159,1,1,,3,knife,main,,0,0.2824033200740814,206.7,239.53,638.9,466.54,422.8,353.03,,0.0,,,0.0,14,0,0,False,5,0,0.0,n/a,,,
160,1,1,,3,knife,main,,0,0.3073551654815674,206.41,240.57,622.98,455.81,413.07,337.76,,0.0,,,0.0,0,0,31166,True,5,0,0.0,n/a,,,
163,1,1,,3,knife,main,,0,0.31908780336380005,206.24,241.17,613.75,449.59,413.07,337.76,,0.0,,,0.0,1,0,31166,True,5,0,0.0,n/a,,,
164,1,1,,3,knife,main,,0,0.3204091787338257,206.14,241.52,608.4,445.98,413.07,337.76,,0.0,,,0.0,2,0,31166,True,5,0,0.0,n/a,,,
165,1,1,,3,knife,main,,0,0.29852572083473206,206.08,241.72,605.29,443.89,413.07,337.76,,0.0,,,0.0,3,0,31166,True,5,0,0.0,n/a,,,
166,1,1,,3,knife,main,,0,0.320349782705307,206.05,241.84,603.49,442.68,413.07,337.76,,0.0,,,0.0,4,0,31166,True,5,0,0.0,n/a,,,
167,1,1,,3,knife,main,,0,0.34310075640678406,206.03,241.91,602.44,441.97,413.07,337.76,,0.0,,,0.0,5,0,31166,True,5,0,0.0,n/a,,,
168,1,1,,3,knife,main,,0,0.32199254631996155,206.02,241.95,601.84,441.56,413.07,337.76,,0.0,,,0.0,6,0,31166,True,5,0,0.0,n/a,,,
170,1,1,,3,knife,main,,0,0.3846493661403656,206.01,241.97,601.49,441.33,413.07,337.76,,0.0,,,0.0,7,0,31166,True,5,0,0.0,n/a,,,
171,1,1,,3,knife,main,,0,0.3086051940917969,206.01,241.98,601.28,441.19,413.07,337.76,,0.0,,,0.0,8,0,31166,True,5,0,0.0,n/a,,,
172,1,1,,3,knife,main,,0,0.3441915512084961,206.0,241.99,601.16,441.11,413.07,337.76,,0.0,,,0.0,9,0,31166,True,5,0,0.0,n/a,,,
174,1,1,,3,knife,main,,0,0.2958730459213257,206.0,241.99,601.09,441.06,413.07,337.76,,0.0,,,0.0,10,0,31166,True,5,0,0.0,n/a,,,
175,1,1,,3,knife,main,,0,0.2662382125854492,206.0,242.0,601.05,441.04,413.07,337.76,,0.0,,,0.0,11,0,31166,True,5,0,0.0,n/a,,,
176,1,1,,3,knife,main,,0,0.30136847496032715,206.0,242.0,601.03,441.02,413.07,337.76,,0.0,,,0.0,12,0,31166,True,5,0,0.0,n/a,,,
208,1,1,,3,knife,main,,0,0.3506786525249481,206.0,242.0,601.02,441.01,413.07,337.76,,0.0,,,0.0,13,0,31166,True,5,0,0.0,n/a,,,
209,1,1,,3,knife,main,,0,0.5742557644844055,206.0,242.0,601.01,441.01,413.07,337.76,,0.0,,,0.0,14,0,31166,True,5,0,0.0,n/a,,,
328,2,2,,4,person,main,,0,0.6561757326126099,498.91,2.99,638.83,467.71,568.87,235.35,,0.0,,,0.0,0,0,0,False,0,0,0.65,"right-edge,top-edge",right,,right
329,2,2,,4,person,main,,0,0.733279824256897,477.98,3.4,638.19,467.39,558.08,235.39,,0.0,,,0.0,0,0,0,False,0,0,0.65,"right-edge,top-edge",right,,right
330,2,2,,4,person,main,,0,0.8748257756233215,458.56,4.0,637.11,467.48,547.83,235.74,,0.0,,,0.0,0,0,0,False,0,0,0.65,"right-edge,top-edge",right,,right
331,2,2,,4,person,main,,0,0.7852680683135986,440.19,4.14,636.53,466.63,538.36,235.38,,0.0,,,0.0,0,0,0,False,0,0,0.65,"right-edge,top-edge",right,,right
332,2,2,,4,person,main,,0,0.7724843621253967,423.58,3.8,636.3,466.62,529.94,235.21,,0.0,,,0.0,0,0,0,False,0,0,0.65,"right-edge,top-edge",right,,right
333,2,2,,4,person,main,,0,0.8457499146461487,402.82,3.35,636.2,467.48,519.51,235.42,,0.0,,,0.0,0,0,0,False,0,0,0.6,"right-edge,top-edge,bottom-edge",right,,right
334,2,2,,4,person,main,,0,0.8267133831977844,381.91,3.45,636.26,468.34,509.09,235.9,,0.0,,,0.0,0,0,0,False,0,0,0.6,"right-edge,top-edge,bottom-edge",right,,right
335,2,2,,4,person,main,,0,0.8657060861587524,361.19,3.46,636.35,468.57,498.77,236.01,,0.0,,,0.0,0,0,0,False,0,0,0.6,"right-edge,top-edge,bottom-edge",right,,right
336,2,2,,4,person,main,,0,0.8475743532180786,329.56,3.35,636.51,469.4,483.03,236.37,,0.0,,,0.0,0,0,0,False,0,0,0.6,"right-edge,top-edge,bottom-edge",right,,right
337,2,2,,4,person,main,,0,0.7314012050628662,292.63,3.1,635.67,469.59,464.15,236.34,,0.0,,,0.0,0,0,0,False,0,0,0.6,"right-edge,top-edge,bottom-edge",right,,right
338,2,2,,4,person,main,,0,0.847068727016449,265.11,2.96,634.76,469.52,449.93,236.24,,0.0,,,0.0,0,0,0,False,0,0,0.35,"right-edge,top-edge,bottom-edge,bad-aspect",right,,right
339,2,2,,4,person,main,,0,0.830057680606842,241.97,3.03,632.52,470.09,437.24,236.56,,0.0,,,0.0,0,0,0,False,0,0,0.35,"right-edge,top-edge,bottom-edge,bad-aspect",right,,right
340,2,2,,4,person,main,,0,0.830057680606842,225.84,3.14,630.76,470.74,428.3,236.94,,0.0,,,0.0,0,0,0,False,0,0,0.35,"right-edge,top-edge,bottom-edge,bad-aspect",right,,right
341,2,2,,4,person,main,,0,0.8337287902832031,210.25,3.28,620.93,471.12,415.59,237.2,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",right,,right
342,2,2,,4,person,main,,0,0.8741751313209534,189.06,3.04,594.72,471.84,391.89,237.44,,0.0,,,0.0,0,0,0,False,0,0,0.6,"top-edge,bottom-edge",top,,top
343,2,2,,4,person,main,,0,0.8741751313209534,172.36,2.68,571.78,472.48,372.07,237.58,,0.0,,,0.0,0,0,0,False,0,0,0.6,"top-edge,bottom-edge",top,,top
344,2,2,,4,person,main,,0,0.9040586352348328,157.8,2.2,552.38,473.19,355.09,237.69,,0.0,,,0.0,0,0,0,False,0,0,0.6,"top-edge,bottom-edge",top,,top
345,2,2,,4,person,main,,0,0.9038699269294739,118.91,2.38,516.32,473.52,317.62,237.95,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
346,2,2,,4,person,main,,0,0.9038699269294739,95.07,2.59,497.07,473.57,296.07,238.08,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",top,,top
347,2,2,,4,person,main,,0,0.91998690366745,69.41,2.77,483.66,473.2,276.53,237.98,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",left,,left
348,2,2,,4,person,main,,0,0.9430521130561829,51.44,2.79,474.41,473.42,262.93,238.11,,0.0,,,0.0,0,0,0,False,0,0,0.35,"top-edge,bottom-edge,bad-aspect",left,,left
349,2,2,,4,person,main,,0,0.8611817955970764,33.8,12.52,461.24,473.59,247.52,243.05,,0.0,,,0.0,0,0,0,False,0,0,0.35,"left-edge,bottom-edge,bad-aspect",left,,left
350,2,2,,4,person,main,,0,0.8290602564811707,19.6,26.79,454.29,473.46,236.95,250.13,,0.0,,,0.0,0,0,0,False,0,0,0.35,"left-edge,bottom-edge,bad-aspect",left,,left
351,2,2,,4,person,main,,0,0.9201598763465881,11.37,42.06,450.27,473.91,230.82,257.99,,0.0,,,0.0,0,0,0,False,0,0,0.35,"left-edge,bottom-edge,bad-aspect",left,,left
352,2,2,,4,person,main,,0,0.9349228143692017,6.59,56.73,448.62,474.14,227.61,265.44,,0.0,,,0.0,0,0,0,False,0,0,0.35,"left-edge,bottom-edge,bad-aspect",left,,left
353,2,2,,4,person,main,,0,0.9338131546974182,3.82,66.69,449.02,471.0,226.42,268.84,,0.0,,,0.0,0,0,0,False,0,0,0.4,"left-edge,bad-aspect",left,,left
